names,number,annotation,adduct,mz,mzmin,mzmax,rt,Rtminutes,rtmin,rtmax,npeaks,mzXML,t01,t02,t03,t11,t12,t13,t21,t22,t23,t31,t32,t33,t41,t42,t43,t51,t53,t61,t62,t63,t71,t72,t73,t81,t82,t83,t91,t92,t93,t101,t102,t103,t111,isotopes,pcgroup,pc_nocorr,CouA,MSnEluc,formula
M327.108T511.82,5,dihydrocoumaroylglucose,[M-H]-,327.1077144,327.1076896,327.1083379,511.8224237,8.530373728,489.3288858,543.748102,33,31,21340.76224,20482.76433,18153.58645,21812.68207,22515.90326,14148.59002,20822.0289,11926.19903,30521.81414,17373.03703,6095.515298,28451.7712,17461.25397,26351.04413,15858.52255,19294.99911,21674.63484,45899.44183,34454.61028,16561.31678,15506.31865,12088.4769,15156.6159,0,26800.04304,22549.61308,6329.930444,25433.46335,17582.25493,10939.75134,11488.45673,5789.953207,0,,1711,87,0,NA,C15H19O8
M686.228T512.17,56,dihydrocoumaroylglucose_[2M+28],[2M+28Da-H]-,686.2281285,686.227848,686.2281285,512.1657518,8.536095864,501.2123234,545.8077023,24,24,0,0,0,0,9845.701865,4420.449634,28784.53816,8441.252728,37097.5623,4046.231531,24924.64367,59152.45753,27947.69427,31628.01392,42558.24201,20433.47891,52213.24038,11080.69679,170868.316,14820.43615,49370.24868,126149.4991,91319.07052,171116.2365,124694.5633,97283.56558,104988.775,102870.7484,247610.6989,103520.0772,79857.20812,0,0,,1715,87,0,NA,C15H19O8
M689.237T511.03,56,dihydrocoumaroylglucose_[2M+28]_13C3,[2M+28Da-H]-,689.2370298,689.2341516,689.2370298,511.0251347,8.517085579,501.2123234,545.8077023,17,17,0,0,0,0,0,0,383.8095905,0,3579.858829,0,5399.637663,15269.30726,0,7223.116215,0,13287.37767,25127.13734,0,62157.52796,0,9534.06847,137129.4141,30931.56644,144559.3388,87801.79477,139761.0812,91349.6718,85713.20263,259385.9884,95946.31827,228364.5019,0,0,,1582,68,1,NA,C15H19O8
M330.118T510.98,5,dihydrocoumaroylglucose_13C3,[M-H]-,330.1178771,330.1164425,330.1193293,510.9796293,8.516327155,502.7874532,527.1436678,18,18,0,0,0,0,0,0,0,0,5143.126111,0,0,8534.18234,0,8939.149027,6475.289718,17308.53263,18063.9878,0,12065.20649,6059.413458,4797.218766,22229.45018,6114.684355,6150.132758,20968.78979,46665.4347,0,34503.25074,26086.3921,18839.65571,52364.13047,2718.896981,13931.24617,,1578,68,1,NA,C15H19O8
M714.222T510.96,61,ferulic_acid_glucoside_[2M_13C3],[2M-H]-,714.2215845,714.2211576,714.223273,510.9645405,8.516075675,497.3665905,532.4627085,25,24,0,0,0,0,0,14952.61468,8776.905899,7279.224935,16581.40745,0,22921.66672,0,24137.27524,7431.51141,69960.24242,14780.9323,90730.96337,41316.88545,53518.46053,7004.831122,121385.5133,150928.7665,307852.8912,222962.5243,119309.2897,105594.331,0,82049.36274,216727.5076,253868.7242,126026.1804,0,46776.03196,[34][M]+,68,68,0,TRUE,C18H23O11
M717.232T510.73,61,ferulic_acid_glucoside_[2M_13C6],[2M-H]-,717.2321353,717.2313642,717.2323001,510.7332392,8.512220653,497.3665905,545.8077023,22,22,0,0,0,0,0,939.1159334,2331.667912,0,6113.6462,0,16204.80687,11356.98343,0,7946.562663,10134.68678,10335.74607,48689.48193,2381.017127,86851.31268,3353.128253,39559.7126,219581.682,155908.7262,482284.0162,152129.8026,284537.3936,117632.8424,92063.7874,432783.5211,202867.5476,382010.5461,0,46282.0406,[34][M+1]+,68,68,1,TRUE,C18H23O11
M418.134T511.52,11,ferulic_acid_glucoside_13C3_AA,[M-H]-,418.133737,418.1332393,418.1357618,511.5217029,8.525361715,497.3665905,545.8077023,30,30,0,0,0,3286.412032,4803.686366,10623.00045,10900.29739,3767.564579,20555.32653,4298.550906,24133.90294,18150.81862,5514.086221,19462.75934,16291.72357,20500.09822,45336.91157,15213.09379,64692.0576,16899.69235,41146.40035,92869.07621,84621.17614,78699.09738,93773.83412,127576.6549,53849.49696,64450.85264,129851.6716,90467.12538,180678.7549,5719.339327,52272.07521,[7][M+1]+,87,87,1,TRUE,C18H23O11
M415.123T511.52,11,ferulic_acid_glucoside_AA,[M-H]-,415.1234017,415.1234017,415.1243899,511.5217029,8.525361715,497.3665905,545.8077023,32,32,30461.43615,23856.88612,87871.33983,17120.2263,10057.08826,32213.85297,22320.18648,31396.16007,23107.70386,11114.25845,17966.5393,13716.30402,18382.90866,11202.64676,63570.96987,17046.674,37161.19991,92497.37136,18806.84705,17179.89915,63747.47122,31452.28936,84733.97475,19360.32769,35399.06745,22231.30492,11762.23045,23879.74909,29184.54471,50437.69205,27121.51523,0,17475.72255,[7][M]+,87,87,0,TRUE,C18H23O11
M579.207T757.61,113,G(8-5)Ghexoside_AA_,[M-H]-,579.2073872,579.2073872,579.2073872,757.6061039,12.6267684,747.5078282,771.3116931,33,33,862633.905,704586.4002,1287373.599,699076.8893,570932.9783,1996207.206,483441.6243,552946.8058,813036.0272,218907.0318,926407.2006,752766.9908,1069935.871,671520.9315,956442.3347,343457.148,751057.217,1430525.885,546387.8219,352373.3333,1191855.549,377975.7803,1488559.664,706726.5115,1202654.283,396139.9099,601063.825,1070936.609,830019.2342,710119.4768,1402157.344,261542.9856,1438481.473,,1221,31,0,NA,C28H35O13
M582.217T743.3,113,G(8-5)Ghexoside_AA_13C3,[M-H]-,582.2171147,582.1813393,582.2948922,743.2982,12.38830333,714.9305,784.0945,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95084.011,0,0,78330.0656,32115.012,0,287472.5439,0,348653.5037,104047.9159,174919.3134,63925.53047,122361.3355,150530.5524,168237.5687,291140.3473,391154.2976,104881.2369,250131.4516,,NA,NA,1,NA,C28H35O13
